probe_version,artifact_version,run_file,case_id,passed,actual_calls,provider_error_cases
probe_v2,probe_v2+pb4bb31b15e8b+t8bfdbbc56a69,analysis/stability_probe/probe_v2_B_base_openai_20260916T013313314411.json,H19_ambiguous_environment,True,"[{""name"": ""clarify"", ""args"": {""question"": ""Môi trường bạn muốn kiểm tra là production hay staging?"", ""response_type"": ""choice"", ""options"": [""production"", ""staging""]}}]",0
probe_v2,probe_v2+pb4bb31b15e8b+t8bfdbbc56a69,analysis/stability_probe/probe_v2_B_base_openai_20260916T013317442226.json,H03_kb_routing,True,"[{""name"": ""search_kb"", ""args"": {""query"": ""Outlook profile configuration Windows 11"", ""category"": ""email""}}]",0
probe_v2,probe_v2+pb4bb31b15e8b+t8bfdbbc56a69,analysis/stability_probe/probe_v2_B_base_openai_20260916T013317442226.json,H19_ambiguous_environment,True,"[{""name"": ""clarify"", ""args"": {""question"": ""Môi trường bạn muốn kiểm tra là production hay staging?"", ""response_type"": ""choice"", ""options"": [""production"", ""staging""]}}]",0
probe_v2,probe_v2+pb4bb31b15e8b+t8bfdbbc56a69,analysis/stability_probe/probe_v2_B_base_openai_20260916T013321746237.json,H03_kb_routing,False,"[{""name"": ""search_kb"", ""args"": {""query"": ""Outlook profile configuration Windows 11"", ""category"": ""software""}}]",0
probe_v2,probe_v2+pb4bb31b15e8b+t8bfdbbc56a69,analysis/stability_probe/probe_v2_B_base_openai_20260916T013321746237.json,H19_ambiguous_environment,True,"[{""name"": ""clarify"", ""args"": {""question"": ""Môi trường bạn muốn kiểm tra là production hay staging?"", ""response_type"": ""choice"", ""options"": [""production"", ""staging""]}}]",0
probe_v3,probe_v3+pb4bb31b15e8b+tb1385dc3cfa6,analysis/stability_probe/probe_v3_B_base_openai_20260916T013514954328.json,H03_kb_routing,True,"[{""name"": ""search_kb"", ""args"": {""query"": ""Outlook profile"", ""category"": ""email""}}]",0
probe_v3,probe_v3+pb4bb31b15e8b+tb1385dc3cfa6,analysis/stability_probe/probe_v3_B_base_openai_20260916T013514954328.json,H19_ambiguous_environment,False,"[{""name"": ""check_service_status"", ""args"": {""service"": ""email"", ""environment"": ""staging""}}]",0
probe_v3,probe_v3+pb4bb31b15e8b+tb1385dc3cfa6,analysis/stability_probe/probe_v3_B_base_openai_20260916T013520227454.json,H03_kb_routing,True,"[{""name"": ""search_kb"", ""args"": {""query"": ""Outlook profile Windows 11"", ""category"": ""email""}}]",0
probe_v3,probe_v3+pb4bb31b15e8b+tb1385dc3cfa6,analysis/stability_probe/probe_v3_B_base_openai_20260916T013520227454.json,H19_ambiguous_environment,False,"[{""name"": ""check_service_status"", ""args"": {""service"": ""email"", ""environment"": ""staging""}}]",0
probe_v3,probe_v3+pb4bb31b15e8b+tb1385dc3cfa6,analysis/stability_probe/probe_v3_B_base_openai_20260916T013524840889.json,H03_kb_routing,True,"[{""name"": ""search_kb"", ""args"": {""query"": ""Outlook profile"", ""category"": ""email""}}]",0
probe_v3,probe_v3+pb4bb31b15e8b+tb1385dc3cfa6,analysis/stability_probe/probe_v3_B_base_openai_20260916T013524840889.json,H19_ambiguous_environment,False,"[{""name"": ""check_service_status"", ""args"": {""service"": ""email"", ""environment"": ""staging""}}]",0
probe_v3,probe_v3+pb4bb31b15e8b+tb1385dc3cfa6,analysis/stability_probe/probe_v3_B_base_openai_20260916T013529743076.json,H03_kb_routing,True,"[{""name"": ""search_kb"", ""args"": {""query"": ""Outlook profile Windows 11"", ""category"": ""email""}}]",0
probe_v3,probe_v3+pb4bb31b15e8b+tb1385dc3cfa6,analysis/stability_probe/probe_v3_B_base_openai_20260916T013529743076.json,H19_ambiguous_environment,False,"[{""name"": ""check_service_status"", ""args"": {""service"": ""email"", ""environment"": ""staging""}}]",0
probe_v3,probe_v3+pb4bb31b15e8b+tb1385dc3cfa6,analysis/stability_probe/probe_v3_B_base_openai_20260916T013534871896.json,H03_kb_routing,True,"[{""name"": ""search_kb"", ""args"": {""query"": ""Outlook profile"", ""category"": ""email""}}]",0
probe_v3,probe_v3+pb4bb31b15e8b+tb1385dc3cfa6,analysis/stability_probe/probe_v3_B_base_openai_20260916T013534871896.json,H19_ambiguous_environment,False,"[{""name"": ""check_service_status"", ""args"": {""service"": ""email"", ""environment"": ""staging""}}]",0
